model,pruned,predicate,data,scale,threads,time
Ailerons_d10_l703_n1405_20240921062645,2,-0.00318,Ailerons,1G,2,0.6036845945753158
Ailerons_d10_l703_n1405_20240921062645,1,-0.00286,Ailerons,1G,2,0.5999497537966818
Ailerons_d10_l703_n1405_20240921062645,2,-0.00286,Ailerons,1G,2,0.5705912889912724
Ailerons_d10_l703_n1405_20240921062645,1,-0.00254,Ailerons,1G,2,0.5969364115968346
Ailerons_d10_l703_n1405_20240921062645,2,-0.00254,Ailerons,1G,2,0.606524768192321
Ailerons_d10_l703_n1405_20240921062645,1,-0.00222,Ailerons,1G,2,0.6035216177813709
Ailerons_d10_l703_n1405_20240921062645,2,-0.00222,Ailerons,1G,2,0.6039933476131409
Ailerons_d10_l703_n1405_20240921062645,1,-0.0019,Ailerons,1G,2,0.6122482749633491
Ailerons_d10_l703_n1405_20240921062645,2,-0.0019,Ailerons,1G,2,0.6212104974314571
Ailerons_d10_l703_n1405_20240921062645,1,-0.00158,Ailerons,1G,2,0.6070817891974002
Ailerons_d10_l703_n1405_20240921062645,2,-0.00158,Ailerons,1G,2,0.6086295876186341
Ailerons_d10_l703_n1405_20240921062645,1,-0.00126,Ailerons,1G,2,0.6417828570120037
Ailerons_d10_l703_n1405_20240921062645,2,-0.00126,Ailerons,1G,2,0.637060621380806
Ailerons_d10_l703_n1405_20240921062645,1,-0.00094,Ailerons,1G,2,0.6427169993985444
Ailerons_d10_l703_n1405_20240921062645,2,-0.00094,Ailerons,1G,2,0.6486637057736516
Ailerons_d10_l703_n1405_20240921062645,1,-0.00062,Ailerons,1G,2,0.6273035332094878
Ailerons_d10_l703_n1405_20240921062645,2,-0.00062,Ailerons,1G,2,0.6391528720036149
Ailerons_d10_l703_n1405_20240921062645,1,-0.0003,Ailerons,1G,2,0.6165805061813444
Ailerons_d10_l703_n1405_20240921062645,2,-0.0003,Ailerons,1G,2,0.608820826606825
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,0,0.0,nyc-taxi-green-dec-2016,1G,2,1.5782898738048972
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,0.420043,nyc-taxi-green-dec-2016,1G,2,1.4356034846045076
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,0.420043,nyc-taxi-green-dec-2016,1G,2,1.5469887380022556
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,0.830135,nyc-taxi-green-dec-2016,1G,2,1.5064612669870256
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,0.830135,nyc-taxi-green-dec-2016,1G,2,1.4634048137813807
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,1.240227,nyc-taxi-green-dec-2016,1G,2,1.3754734823945909
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,1.240227,nyc-taxi-green-dec-2016,1G,2,1.3870609790086745
